Split,Model,Accuracy,Precision,Recall,F1
0,xgboost,0.35185185185185186,0.422962962962963,0.35185185185185186,0.21843326702661742
0,mlp,0.48148148148148145,0.4833300323496402,0.48148148148148145,0.4819563152896486
0,RandomForest,0.35185185185185186,0.4180911680911681,0.35185185185185186,0.21326214366810886
1,xgboost,0.33755274261603374,0.23651212886326886,0.33755274261603374,0.2500367758721405
1,mlp,0.2911392405063291,0.21468459696307796,0.2911392405063291,0.20400061161411517
1,RandomForest,0.32489451476793246,0.22343414521365607,0.32489451476793246,0.23804822435152242
2,xgboost,0.5694444444444444,0.6032077854011816,0.5694444444444444,0.5849442721141664
2,mlp,0.5486111111111112,0.5469472365071945,0.5486111111111112,0.5472635614726039
2,RandomForest,0.59375,0.636166351010101,0.59375,0.6125835304495811
3,xgboost,0.45,0.522420634920635,0.45,0.45103277060575964
3,mlp,0.35,0.3676470588235294,0.35,0.3258163265306122
3,RandomForest,0.36666666666666664,0.36886792452830186,0.36666666666666664,0.26989989989989993
4,xgboost,0.5553145336225597,0.5584141533777165,0.5553145336225597,0.5354266744837348
4,mlp,0.5227765726681128,0.5097362178037181,0.5227765726681128,0.49277306579924185
4,RandomForest,0.5683297180043384,0.5408083067236138,0.5683297180043384,0.5529184029902314
5,xgboost,0.5370370370370371,0.614552052052052,0.5370370370370371,0.4960688758934373
5,mlp,0.5370370370370371,0.5198327359617682,0.5370370370370371,0.5129825592788556
5,RandomForest,0.5185185185185185,0.5434472934472935,0.5185185185185185,0.48384942319368557
6,xgboost,0.5974025974025974,0.6146013708513708,0.5974025974025974,0.5861785490719581
6,mlp,0.5324675324675324,0.5304434105792339,0.5324675324675324,0.5051665645357668
6,RandomForest,0.6017316017316018,0.6194897022169749,0.6017316017316018,0.593456388261744
